name,category,cat_code,l,w,h,weight,score
Industrial Motor,Heavy Load,2,23,23,53,51,8.271600000000001
Steel Beam,Heavy Load,2,51,25,52,59,9.05
Canned Food,Common,0,46,43,50,6,1.1512
Generator,Heavy Load,2,30,31,38,71,9.632
Safe Box,Heavy Load,2,49,40,44,36,7.944
Laboratory Beaker,Fragile,1,49,24,14,7,0.0
Tools,Common,0,56,25,25,7,0.9800000000000001
Clothes,Common,0,35,34,33,11,1.136
Laboratory Beaker,Fragile,1,29,25,19,7,0.0
Monitor,Fragile,1,10,21,54,14,0.0
Plastic Toys,Common,0,20,41,56,16,1.2879999999999998
TV Screen,Fragile,1,36,16,37,7,0.0
Cushions,Common,0,30,31,44,25,1.8719999999999999
Tools,Common,0,48,33,43,9,1.1736
Monitor,Fragile,1,14,26,40,14,0.0
Monitor,Fragile,1,48,42,18,9,0.0
Industrial Motor,Heavy Load,2,25,20,33,78,9.879999999999999
Glass Vase,Fragile,1,28,40,45,6,0.0
Wine Bottles,Fragile,1,20,33,56,13,0.0
Gym Weights,Heavy Load,2,54,14,56,46,8.0624
Books,Common,0,37,12,21,29,1.9175999999999997
Wine Bottles,Fragile,1,42,42,24,1,0.0
Safe Box,Heavy Load,2,18,38,25,52,8.393600000000001
Cushions,Common,0,57,52,19,25,2.6856
Clothes,Common,0,18,50,36,7,0.78
Glass Vase,Fragile,1,26,50,23,13,0.0
Monitor,Fragile,1,11,38,26,13,0.0
Monitor,Fragile,1,18,55,52,14,0.0
Shoes,Common,0,56,34,18,24,2.2016
TV Screen,Fragile,1,56,12,57,7,0.0
Car Engine,Heavy Load,2,26,56,30,68,9.6624
Anvil,Heavy Load,2,36,35,28,64,9.344
Shoes,Common,0,37,23,56,20,1.5404
Canned Food,Common,0,49,17,48,21,1.5932
Mirror,Fragile,1,11,46,52,8,0.0
Generator,Heavy Load,2,42,25,44,46,8.18
Generator,Heavy Load,2,43,29,22,67,9.518799999999999
TV Screen,Fragile,1,58,36,30,11,0.0
Gym Weights,Heavy Load,2,50,32,34,61,9.3
Safe Box,Heavy Load,2,21,38,38,61,8.9792
Laboratory Beaker,Fragile,1,19,26,30,10,0.0
Antique Lamp,Fragile,1,14,50,46,14,0.0
Generator,Heavy Load,2,23,44,51,40,7.8048
Car Engine,Heavy Load,2,18,25,27,77,9.8
Steel Beam,Heavy Load,2,14,50,43,51,8.34
Books,Common,0,34,25,10,29,2.0799999999999996
Tools,Common,0,57,56,31,29,3.0168
Tools,Common,0,18,57,40,18,1.4904
Concrete Block,Heavy Load,2,18,33,46,55,8.537600000000001
Glass Vase,Fragile,1,57,11,36,12,0.0
Plastic Toys,Common,0,39,56,58,14,1.7136000000000002
Canned Food,Common,0,24,57,38,25,2.0472
Mirror,Fragile,1,46,32,57,10,0.0
Books,Common,0,54,27,55,15,1.4832
Anvil,Heavy Load,2,51,42,39,72,10.0
Books,Common,0,44,35,16,18,1.6960000000000002
Clothes,Common,0,10,34,37,22,1.456
Anvil,Heavy Load,2,29,43,42,74,9.9388
Books,Common,0,37,25,55,2,0.49000000000000005
Wine Bottles,Fragile,1,41,48,12,7,0.0
Anvil,Heavy Load,2,32,57,39,66,9.6896
Ceramic Plates,Fragile,1,26,50,24,7,0.0
Glass Vase,Fragile,1,22,28,24,14,0.0
Anvil,Heavy Load,2,12,52,25,33,7.2296
Safe Box,Heavy Load,2,32,32,29,74,9.849599999999999
Monitor,Fragile,1,35,40,38,8,0.0
Concrete Block,Heavy Load,2,37,38,17,44,8.2024
Paper Ream,Common,0,11,21,30,4,0.3324
Plastic Toys,Common,0,33,15,51,26,1.7579999999999998
Gym Weights,Heavy Load,2,21,46,55,79,10.0
Cushions,Common,0,52,56,47,26,2.7248
TV Screen,Fragile,1,29,28,45,7,0.0
Shoes,Common,0,41,35,52,29,2.314
Steel Beam,Heavy Load,2,54,37,29,38,8.0792
Mirror,Fragile,1,34,56,35,1,0.0
Gym Weights,Heavy Load,2,56,21,47,34,7.5104
Glass Vase,Fragile,1,12,46,48,5,0.0
Generator,Heavy Load,2,58,17,12,76,9.954400000000001
Books,Common,0,49,42,17,10,1.4232
Mirror,Fragile,1,20,22,30,12,0.0
Wine Bottles,Fragile,1,57,17,30,3,0.0
Anvil,Heavy Load,2,58,24,34,70,9.7568
Canned Food,Common,0,14,43,49,6,0.6007999999999999
Wine Bottles,Fragile,1,13,19,32,13,0.0
Antique Lamp,Fragile,1,45,14,52,4,0.0
Safe Box,Heavy Load,2,32,13,55,54,8.4064
Laboratory Beaker,Fragile,1,19,15,16,12,0.0
Car Engine,Heavy Load,2,57,54,26,79,10.0
Industrial Motor,Heavy Load,2,27,22,45,56,8.5976
Cushions,Common,0,32,43,15,20,1.7504000000000002
Gym Weights,Heavy Load,2,35,56,16,42,8.303999999999998
Ceramic Plates,Fragile,1,15,45,56,12,0.0
Laboratory Beaker,Fragile,1,29,17,30,4,0.0
Steel Beam,Heavy Load,2,56,54,40,76,10.0
Steel Beam,Heavy Load,2,58,41,42,33,7.9312
Industrial Motor,Heavy Load,2,38,58,33,33,7.8616
Laboratory Beaker,Fragile,1,12,29,47,9,0.0
Tools,Common,0,41,35,53,7,0.9940000000000001
Steel Beam,Heavy Load,2,22,31,15,58,8.752799999999999
Clothes,Common,0,30,43,53,24,1.956
Car Engine,Heavy Load,2,15,48,38,63,9.068000000000001
Shoes,Common,0,13,23,41,16,1.0796
Laboratory Beaker,Fragile,1,55,22,19,2,0.0
Shoes,Common,0,28,22,36,15,1.1464
Laboratory Beaker,Fragile,1,23,16,47,3,0.0
Paper Ream,Common,0,20,50,36,29,2.1399999999999997
Antique Lamp,Fragile,1,10,50,33,9,0.0
Ceramic Plates,Fragile,1,21,22,51,9,0.0
TV Screen,Fragile,1,21,17,44,6,0.0
Gym Weights,Heavy Load,2,52,54,47,62,9.8432
Cushions,Common,0,53,41,47,14,1.7091999999999998
Anvil,Heavy Load,2,21,55,43,61,9.122
Safe Box,Heavy Load,2,58,36,21,56,9.1952
Ceramic Plates,Fragile,1,15,59,31,5,0.0
Safe Box,Heavy Load,2,49,48,54,36,8.1008
Tools,Common,0,14,20,56,26,1.672
Shoes,Common,0,45,57,31,17,2.0460000000000003
Books,Common,0,55,23,51,15,1.4060000000000001
Ceramic Plates,Fragile,1,28,11,32,13,0.0
Laboratory Beaker,Fragile,1,53,45,43,2,0.0
Industrial Motor,Heavy Load,2,40,58,31,49,8.868
Clothes,Common,0,24,50,44,15,1.3800000000000001
Paper Ream,Common,0,41,24,17,16,1.3536
Clothes,Common,0,56,46,47,25,2.5304
Canned Food,Common,0,26,44,10,22,1.7776
Industrial Motor,Heavy Load,2,10,58,42,42,7.752
Books,Common,0,30,22,32,20,1.464
Glass Vase,Fragile,1,28,29,25,5,0.0
TV Screen,Fragile,1,35,14,10,1,0.0
Industrial Motor,Heavy Load,2,35,51,36,48,8.594
Ceramic Plates,Fragile,1,39,59,50,12,0.0
Canned Food,Common,0,25,20,10,29,1.94
Gym Weights,Heavy Load,2,22,24,36,64,9.0512
Car Engine,Heavy Load,2,53,41,11,32,7.789199999999999
Mirror,Fragile,1,19,34,22,11,0.0
Books,Common,0,30,58,23,27,2.316
Plastic Toys,Common,0,46,53,35,14,1.8152000000000001
Steel Beam,Heavy Load,2,10,53,19,47,8.032
Laboratory Beaker,Fragile,1,20,48,15,2,0.0
Concrete Block,Heavy Load,2,36,35,52,67,9.524
Anvil,Heavy Load,2,36,18,17,75,9.7592
Anvil,Heavy Load,2,44,47,34,73,10.0
Monitor,Fragile,1,55,28,49,4,0.0
Plastic Toys,Common,0,43,50,40,13,1.64
Ceramic Plates,Fragile,1,25,36,32,8,0.0
Clothes,Common,0,10,21,24,27,1.704
Paper Ream,Common,0,27,17,32,25,1.6835999999999998
Shoes,Common,0,42,21,38,21,1.6128
Tools,Common,0,44,15,22,24,1.704
Books,Common,0,39,15,23,7,0.654
Laboratory Beaker,Fragile,1,14,18,46,14,0.0
Antique Lamp,Fragile,1,30,45,10,6,0.0
TV Screen,Fragile,1,33,11,58,9,0.0
Glass Vase,Fragile,1,44,29,17,3,0.0
Paper Ream,Common,0,56,29,59,22,1.9695999999999998
Books,Common,0,35,20,42,15,1.1800000000000002
Laboratory Beaker,Fragile,1,32,57,51,9,0.0
Glass Vase,Fragile,1,52,17,49,7,0.0
Ceramic Plates,Fragile,1,25,51,20,8,0.0
Glass Vase,Fragile,1,14,53,48,6,0.0
Safe Box,Heavy Load,2,28,54,12,60,9.2048
Wine Bottles,Fragile,1,10,58,53,1,0.0
Canned Food,Common,0,20,36,32,15,1.1880000000000002
Concrete Block,Heavy Load,2,21,41,35,41,7.804399999999999
Car Engine,Heavy Load,2,27,20,13,68,9.296
Plastic Toys,Common,0,31,24,16,10,0.8976000000000001
Laboratory Beaker,Fragile,1,33,39,27,7,0.0
Clothes,Common,0,35,29,54,9,0.9460000000000001
Clothes,Common,0,48,36,25,15,1.5912000000000002
Car Engine,Heavy Load,2,49,31,42,68,9.6876
Plastic Toys,Common,0,20,28,51,8,0.704
Tools,Common,0,32,23,32,6,0.6544000000000001
Plastic Toys,Common,0,39,49,41,28,2.4444000000000004
Cushions,Common,0,30,40,54,23,1.86
Concrete Block,Heavy Load,2,21,26,42,48,8.0984
Monitor,Fragile,1,50,38,30,10,0.0
Books,Common,0,20,49,21,22,1.7120000000000002
Steel Beam,Heavy Load,2,17,32,25,75,9.717600000000001
Shoes,Common,0,55,39,37,6,1.218
Books,Common,0,56,31,20,14,1.5344000000000002
Paper Ream,Common,0,56,48,38,14,1.9152
Cushions,Common,0,29,25,32,8,0.77
Books,Common,0,33,35,35,8,0.942
Car Engine,Heavy Load,2,41,41,13,42,8.192400000000001
Laboratory Beaker,Fragile,1,28,50,48,4,0.0
Books,Common,0,55,18,13,22,1.716
Ceramic Plates,Fragile,1,17,32,55,8,0.0
Anvil,Heavy Load,2,42,34,23,59,9.1112
Plastic Toys,Common,0,29,33,44,24,1.8227999999999998
Safe Box,Heavy Load,2,28,33,22,63,9.1496
Tools,Common,0,42,10,16,10,0.768
Ceramic Plates,Fragile,1,19,31,10,7,0.0
Industrial Motor,Heavy Load,2,17,51,24,77,9.9668
Concrete Block,Heavy Load,2,25,17,31,67,9.190000000000001
Clothes,Common,0,25,44,20,5,0.74
Wine Bottles,Fragile,1,56,59,54,12,0.0
Canned Food,Common,0,16,26,59,11,0.8263999999999999
Anvil,Heavy Load,2,19,18,23,35,7.2368
Gym Weights,Heavy Load,2,15,30,47,69,9.319999999999999
Canned Food,Common,0,52,54,23,23,2.5031999999999996
Wine Bottles,Fragile,1,26,23,42,8,0.0
Steel Beam,Heavy Load,2,21,49,52,63,9.1916
Car Engine,Heavy Load,2,54,23,45,61,9.1568
Wine Bottles,Fragile,1,26,44,15,11,0.0
Clothes,Common,0,46,23,13,25,1.9232
Laboratory Beaker,Fragile,1,36,59,21,13,0.0
Cushions,Common,0,20,56,19,11,1.1079999999999999
Wine Bottles,Fragile,1,15,55,34,12,0.0
Glass Vase,Fragile,1,18,38,59,10,0.0
Safe Box,Heavy Load,2,10,34,56,58,8.616
Ceramic Plates,Fragile,1,19,59,19,9,0.0
Canned Food,Common,0,17,45,14,3,0.48600000000000004
Tools,Common,0,43,22,39,2,0.49840000000000007
Canned Food,Common,0,33,50,32,27,2.2800000000000002
Car Engine,Heavy Load,2,18,14,47,76,9.6608
Paper Ream,Common,0,41,34,16,2,0.6776000000000001
Mirror,Fragile,1,42,22,31,5,0.0
Ceramic Plates,Fragile,1,14,30,22,12,0.0
Paper Ream,Common,0,43,35,45,24,2.042
Anvil,Heavy Load,2,24,27,53,53,8.4392
Plastic Toys,Common,0,40,37,37,14,1.432
Concrete Block,Heavy Load,2,11,13,38,55,8.3572
Books,Common,0,20,25,52,26,1.7600000000000002
Generator,Heavy Load,2,45,34,20,49,8.552
Car Engine,Heavy Load,2,41,54,15,79,10.0
Monitor,Fragile,1,45,38,54,8,0.0
Laboratory Beaker,Fragile,1,45,15,26,3,0.0
Concrete Block,Heavy Load,2,22,34,34,66,9.2592
Antique Lamp,Fragile,1,44,49,23,1,0.0
Mirror,Fragile,1,31,51,33,12,0.0
Laboratory Beaker,Fragile,1,53,44,18,7,0.0
Clothes,Common,0,58,42,29,9,1.5143999999999997
Tools,Common,0,31,26,13,2,0.4424
Canned Food,Common,0,44,40,24,27,2.3240000000000003
Glass Vase,Fragile,1,41,43,25,6,0.0
Anvil,Heavy Load,2,52,54,38,77,10.0
Tools,Common,0,41,26,13,2,0.5464
Safe Box,Heavy Load,2,23,42,34,76,9.9464
Canned Food,Common,0,28,38,34,26,1.9856000000000003
Cushions,Common,0,11,33,22,13,0.9251999999999999
Paper Ream,Common,0,41,13,28,16,1.1732
Glass Vase,Fragile,1,54,56,36,10,0.0
Glass Vase,Fragile,1,12,30,38,6,0.0
Antique Lamp,Fragile,1,22,16,23,1,0.0
Shoes,Common,0,22,22,31,10,0.7936
Generator,Heavy Load,2,45,36,57,55,8.948
Books,Common,0,16,31,42,21,1.4584
Plastic Toys,Common,0,14,51,22,18,1.3656
Concrete Block,Heavy Load,2,30,17,31,32,7.124
Mirror,Fragile,1,39,24,29,9,0.0
TV Screen,Fragile,1,18,13,29,14,0.0
Laboratory Beaker,Fragile,1,48,47,19,3,0.0
Mirror,Fragile,1,53,50,12,13,0.0
Safe Box,Heavy Load,2,30,31,50,48,8.251999999999999
Tools,Common,0,44,37,58,15,1.5512000000000001
Car Engine,Heavy Load,2,56,23,19,35,7.6152
Monitor,Fragile,1,32,30,50,7,0.0
Shoes,Common,0,45,35,58,23,2.0100000000000002
Shoes,Common,0,37,53,29,27,2.4044
Car Engine,Heavy Load,2,48,51,15,59,9.519200000000001
Books,Common,0,36,35,23,5,0.8039999999999999
Glass Vase,Fragile,1,48,34,58,14,0.0
Paper Ream,Common,0,26,33,59,27,1.9631999999999998
Books,Common,0,17,27,34,10,0.7836000000000001
Books,Common,0,17,37,42,14,1.0916000000000001
Cushions,Common,0,45,32,38,8,1.056
Car Engine,Heavy Load,2,41,45,54,47,8.558
Anvil,Heavy Load,2,49,50,54,37,8.2
Canned Food,Common,0,56,14,52,20,1.5135999999999998
Paper Ream,Common,0,47,38,45,25,2.2144
Cushions,Common,0,31,48,44,3,0.7752000000000001
Car Engine,Heavy Load,2,49,31,54,37,7.8275999999999994
Cushions,Common,0,13,58,48,7,0.7216
Tools,Common,0,38,40,42,12,1.3279999999999998
Paper Ream,Common,0,37,33,27,16,1.4484
Ceramic Plates,Fragile,1,35,50,52,13,0.0
Antique Lamp,Fragile,1,19,28,31,11,0.0
TV Screen,Fragile,1,10,40,51,13,0.0
Plastic Toys,Common,0,25,49,47,22,1.81
Generator,Heavy Load,2,32,33,21,55,8.7224
Glass Vase,Fragile,1,40,22,24,9,0.0
Concrete Block,Heavy Load,2,11,57,28,34,7.2908
Plastic Toys,Common,0,43,28,37,11,1.1416
Plastic Toys,Common,0,54,24,51,16,1.4784000000000002
Mirror,Fragile,1,31,16,26,9,0.0
Concrete Block,Heavy Load,2,51,50,30,33,8.0
Cushions,Common,0,45,43,52,8,1.254
Ceramic Plates,Fragile,1,13,32,51,14,0.0
Cushions,Common,0,41,22,33,2,0.4808
Industrial Motor,Heavy Load,2,11,58,51,43,7.8352
Paper Ream,Common,0,21,12,56,8,0.5808
Glass Vase,Fragile,1,54,50,35,13,0.0
Clothes,Common,0,32,44,36,5,0.8632000000000002
Cushions,Common,0,37,12,14,3,0.35760000000000003
Cushions,Common,0,22,35,29,6,0.6679999999999999
Canned Food,Common,0,41,25,25,7,0.8300000000000001
Tools,Common,0,32,20,54,29,1.996
Antique Lamp,Fragile,1,36,44,34,10,0.0
Antique Lamp,Fragile,1,39,40,53,13,0.0
Paper Ream,Common,0,22,26,47,8,0.7087999999999999
Tools,Common,0,19,14,23,28,1.7864
Laboratory Beaker,Fragile,1,22,49,10,2,0.0
Ceramic Plates,Fragile,1,41,10,57,10,0.0
Paper Ream,Common,0,35,52,41,19,1.8679999999999999
Canned Food,Common,0,45,57,13,8,1.5059999999999998
Safe Box,Heavy Load,2,45,51,40,63,9.697999999999999
Books,Common,0,47,47,18,25,2.3836
Industrial Motor,Heavy Load,2,52,23,10,77,10.0
Shoes,Common,0,38,58,13,28,2.5616
Monitor,Fragile,1,34,56,56,14,0.0
Gym Weights,Heavy Load,2,12,29,10,52,8.2592
Canned Food,Common,0,52,34,25,20,1.9072
Monitor,Fragile,1,42,11,33,1,0.0
Cushions,Common,0,18,15,27,15,1.008
Anvil,Heavy Load,2,42,51,27,35,7.956799999999999
Ceramic Plates,Fragile,1,25,15,23,7,0.0
Generator,Heavy Load,2,37,56,59,65,9.7288
Mirror,Fragile,1,30,29,29,14,0.0
TV Screen,Fragile,1,17,16,58,10,0.0
Canned Food,Common,0,56,11,24,2,0.36640000000000006
Gym Weights,Heavy Load,2,15,53,26,36,7.478
Concrete Block,Heavy Load,2,34,29,11,50,8.394400000000001
Safe Box,Heavy Load,2,40,25,26,68,9.48
Canned Food,Common,0,44,31,48,16,1.5056
Concrete Block,Heavy Load,2,17,39,35,40,7.6652000000000005
Clothes,Common,0,16,17,54,24,1.5488
Industrial Motor,Heavy Load,2,16,49,50,41,7.773599999999999
Safe Box,Heavy Load,2,27,56,51,62,9.3248
Canned Food,Common,0,35,20,19,23,1.6599999999999997
Concrete Block,Heavy Load,2,12,38,26,77,9.8024
Plastic Toys,Common,0,50,43,18,29,2.6
TV Screen,Fragile,1,21,54,15,7,0.0
Glass Vase,Fragile,1,43,37,34,9,0.0
Tools,Common,0,15,47,59,12,1.002
Clothes,Common,0,20,52,42,28,2.096
Books,Common,0,11,28,37,21,1.3832
Clothes,Common,0,25,45,17,19,1.59
Anvil,Heavy Load,2,35,41,28,54,8.814
Monitor,Fragile,1,18,58,16,2,0.0
Canned Food,Common,0,23,44,38,4,0.6448
Generator,Heavy Load,2,14,55,40,61,8.968
Tools,Common,0,46,37,11,14,1.5208
TV Screen,Fragile,1,15,53,42,13,0.0
Antique Lamp,Fragile,1,38,23,19,9,0.0
Monitor,Fragile,1,21,10,33,4,0.0
Paper Ream,Common,0,24,56,56,5,0.8376000000000001
Books,Common,0,10,24,27,14,0.9359999999999999
Gym Weights,Heavy Load,2,27,57,10,32,7.5356
Antique Lamp,Fragile,1,45,31,17,11,0.0
Generator,Heavy Load,2,55,35,57,77,10.0
Tools,Common,0,11,51,42,2,0.3444
Anvil,Heavy Load,2,38,57,15,43,8.4464
Ceramic Plates,Fragile,1,59,44,45,12,0.0
Shoes,Common,0,43,11,37,8,0.6692
Clothes,Common,0,58,55,47,28,2.9560000000000004
Clothes,Common,0,54,32,13,25,2.1912
Laboratory Beaker,Fragile,1,11,57,38,5,0.0
TV Screen,Fragile,1,30,28,30,11,0.0
Steel Beam,Heavy Load,2,40,25,30,41,7.859999999999999
Ceramic Plates,Fragile,1,52,41,27,11,0.0
Cushions,Common,0,39,15,58,24,1.674
Concrete Block,Heavy Load,2,19,59,32,58,8.9284
Mirror,Fragile,1,22,44,45,14,0.0
Clothes,Common,0,40,19,31,28,1.984
Tools,Common,0,41,54,35,13,1.6656
Antique Lamp,Fragile,1,50,20,48,5,0.0
Concrete Block,Heavy Load,2,41,19,55,50,8.3116
Car Engine,Heavy Load,2,28,32,40,41,7.8184
Steel Beam,Heavy Load,2,33,46,57,37,7.8271999999999995
Laboratory Beaker,Fragile,1,46,10,14,13,0.0
Paper Ream,Common,0,54,46,52,3,1.1736
TV Screen,Fragile,1,41,35,42,12,0.0
Generator,Heavy Load,2,22,17,41,50,8.1496
Gym Weights,Heavy Load,2,57,19,27,63,9.2132
Paper Ream,Common,0,19,31,54,7,0.6556
Tools,Common,0,49,57,13,4,1.3572000000000002
Generator,Heavy Load,2,46,32,45,79,10.0
Tools,Common,0,11,38,41,14,1.0072
Wine Bottles,Fragile,1,21,57,19,8,0.0
Safe Box,Heavy Load,2,31,19,54,74,9.6756
Laboratory Beaker,Fragile,1,41,11,54,9,0.0
Steel Beam,Heavy Load,2,44,42,48,67,9.7592
Tools,Common,0,57,44,31,29,2.7432
Antique Lamp,Fragile,1,18,40,11,6,0.0
Tools,Common,0,35,55,45,17,1.7899999999999998
Monitor,Fragile,1,33,13,12,1,0.0
Books,Common,0,57,28,10,10,1.2384
Concrete Block,Heavy Load,2,43,12,15,44,7.8464
Tools,Common,0,48,11,38,3,0.3912
Generator,Heavy Load,2,39,39,24,38,7.8884
Laboratory Beaker,Fragile,1,38,20,23,5,0.0
Tools,Common,0,29,20,34,26,1.7919999999999998
Paper Ream,Common,0,38,45,33,11,1.344
Plastic Toys,Common,0,12,14,42,25,1.5672000000000001
Glass Vase,Fragile,1,28,47,42,9,0.0
Concrete Block,Heavy Load,2,28,42,47,55,8.7704
Paper Ream,Common,0,40,53,49,17,1.8679999999999999
Plastic Toys,Common,0,24,20,59,8,0.6719999999999999
Glass Vase,Fragile,1,29,59,32,6,0.0
Cushions,Common,0,43,21,50,18,1.4411999999999998
Glass Vase,Fragile,1,42,20,49,13,0.0
Mirror,Fragile,1,34,13,29,6,0.0
Safe Box,Heavy Load,2,52,46,20,68,10.0
Plastic Toys,Common,0,55,16,12,27,1.972
Industrial Motor,Heavy Load,2,25,30,56,77,9.919999999999998
Anvil,Heavy Load,2,41,44,42,61,9.3816
Wine Bottles,Fragile,1,19,43,57,5,0.0
Tools,Common,0,39,21,49,13,1.1076000000000001
Wine Bottles,Fragile,1,42,35,13,11,0.0
Monitor,Fragile,1,11,18,17,8,0.0
Clothes,Common,0,53,32,24,8,1.1583999999999999
Safe Box,Heavy Load,2,23,53,49,39,7.8275999999999994
Safe Box,Heavy Load,2,49,26,35,34,7.5496
Safe Box,Heavy Load,2,26,16,34,61,8.826400000000001
Tools,Common,0,57,39,32,2,1.0092
Industrial Motor,Heavy Load,2,56,44,30,72,10.0
Concrete Block,Heavy Load,2,45,40,57,33,7.7
Mirror,Fragile,1,32,19,31,6,0.0
Concrete Block,Heavy Load,2,27,21,42,39,7.566800000000001
Monitor,Fragile,1,27,25,35,9,0.0
TV Screen,Fragile,1,34,46,20,1,0.0
Generator,Heavy Load,2,29,33,13,48,8.2628
Tools,Common,0,58,57,41,6,1.6824000000000001
Laboratory Beaker,Fragile,1,42,54,57,6,0.0
Antique Lamp,Fragile,1,28,36,15,3,0.0
Generator,Heavy Load,2,50,38,11,47,8.58
Clothes,Common,0,59,29,33,18,1.7643999999999997
Monitor,Fragile,1,11,28,20,12,0.0
Tools,Common,0,39,45,23,5,1.002
Clothes,Common,0,40,52,45,11,1.492
Clothes,Common,0,20,11,25,10,0.688
Wine Bottles,Fragile,1,20,20,16,14,0.0
Shoes,Common,0,23,56,39,20,1.7152
TV Screen,Fragile,1,34,55,25,3,0.0
Anvil,Heavy Load,2,41,17,58,38,7.5588
Mirror,Fragile,1,15,51,25,6,0.0
Generator,Heavy Load,2,48,56,27,56,9.4352
Concrete Block,Heavy Load,2,11,24,42,36,7.265600000000001
Laboratory Beaker,Fragile,1,34,22,53,14,0.0
Cushions,Common,0,39,45,29,21,1.9620000000000002
Industrial Motor,Heavy Load,2,43,33,20,41,8.0276
Anvil,Heavy Load,2,34,38,56,47,8.3368
Car Engine,Heavy Load,2,47,41,46,67,9.790799999999999
Anvil,Heavy Load,2,32,50,29,74,10.0
Concrete Block,Heavy Load,2,26,39,41,64,9.2456
Gym Weights,Heavy Load,2,38,48,18,77,10.0
Shoes,Common,0,33,41,54,24,1.9811999999999999
Ceramic Plates,Fragile,1,32,44,30,10,0.0
Safe Box,Heavy Load,2,35,26,58,62,9.084
Generator,Heavy Load,2,12,50,36,30,7.040000000000001
Cushions,Common,0,17,36,10,5,0.5448000000000001
Laboratory Beaker,Fragile,1,15,16,18,3,0.0
Canned Food,Common,0,45,33,45,3,0.774
Generator,Heavy Load,2,58,11,24,41,7.7152
Antique Lamp,Fragile,1,35,42,55,8,0.0
Gym Weights,Heavy Load,2,35,26,16,36,7.523999999999999
Laboratory Beaker,Fragile,1,26,45,46,12,0.0
Tools,Common,0,36,46,37,19,1.8024
Tools,Common,0,55,48,48,12,1.7759999999999998
Concrete Block,Heavy Load,2,14,17,30,37,7.3152
Tools,Common,0,18,42,31,6,0.6624
Laboratory Beaker,Fragile,1,43,26,14,5,0.0
Monitor,Fragile,1,48,44,39,8,0.0
Concrete Block,Heavy Load,2,35,52,54,58,9.208
Monitor,Fragile,1,36,56,29,9,0.0
Safe Box,Heavy Load,2,13,50,31,33,7.24
Steel Beam,Heavy Load,2,44,47,13,30,7.627199999999999
Steel Beam,Heavy Load,2,48,56,25,31,7.9352
Generator,Heavy Load,2,28,33,25,53,8.5496
Industrial Motor,Heavy Load,2,15,25,56,60,8.75
Industrial Motor,Heavy Load,2,59,34,25,57,9.222399999999999
Concrete Block,Heavy Load,2,47,16,37,69,9.4408
Mirror,Fragile,1,10,18,52,1,0.0
Tools,Common,0,31,17,25,12,0.9308
Concrete Block,Heavy Load,2,55,11,13,37,7.462000000000001
Mirror,Fragile,1,39,45,37,12,0.0
Tools,Common,0,52,24,16,4,0.7392000000000001
Ceramic Plates,Fragile,1,22,31,29,12,0.0
Steel Beam,Heavy Load,2,10,25,26,30,6.9
Anvil,Heavy Load,2,43,51,11,75,10.0
Tools,Common,0,23,15,11,8,0.618
Paper Ream,Common,0,40,48,53,9,1.3079999999999998
TV Screen,Fragile,1,55,34,41,6,0.0
Anvil,Heavy Load,2,49,20,59,40,7.792
Ceramic Plates,Fragile,1,59,35,41,5,0.0
Ceramic Plates,Fragile,1,50,33,17,8,0.0
Clothes,Common,0,53,40,45,6,1.208
Monitor,Fragile,1,33,37,53,6,0.0
Anvil,Heavy Load,2,41,21,55,77,9.964400000000001
Anvil,Heavy Load,2,45,14,25,35,7.351999999999999
TV Screen,Fragile,1,27,25,39,10,0.0
Paper Ream,Common,0,12,46,19,19,1.3608
Clothes,Common,0,30,48,36,27,2.196
Car Engine,Heavy Load,2,20,15,42,53,8.3
Gym Weights,Heavy Load,2,11,51,47,43,7.804399999999999
Laboratory Beaker,Fragile,1,22,49,18,7,0.0
Laboratory Beaker,Fragile,1,15,57,17,5,0.0
Cushions,Common,0,59,55,47,27,2.918
Mirror,Fragile,1,37,10,38,14,0.0
TV Screen,Fragile,1,40,47,12,9,0.0
Glass Vase,Fragile,1,22,29,44,6,0.0
Books,Common,0,39,13,15,6,0.5628
Laboratory Beaker,Fragile,1,20,49,47,10,0.0
Laboratory Beaker,Fragile,1,21,38,40,8,0.0
Steel Beam,Heavy Load,2,49,49,41,36,8.1204
Glass Vase,Fragile,1,57,58,12,5,0.0
Generator,Heavy Load,2,26,47,25,77,10.0
Books,Common,0,42,37,20,14,1.4616
Books,Common,0,33,29,34,19,1.5228000000000002
Generator,Heavy Load,2,58,12,57,76,9.8384
Antique Lamp,Fragile,1,32,56,42,2,0.0
Anvil,Heavy Load,2,56,45,46,43,8.588
Plastic Toys,Common,0,23,13,59,6,0.4795999999999999
Gym Weights,Heavy Load,2,46,38,47,52,8.8192
Shoes,Common,0,12,54,14,15,1.1592
Wine Bottles,Fragile,1,10,38,58,9,0.0
Paper Ream,Common,0,39,17,38,8,0.7452
Industrial Motor,Heavy Load,2,47,59,10,56,9.4692
Car Engine,Heavy Load,2,32,21,15,63,9.0488
Gym Weights,Heavy Load,2,36,25,56,75,9.86
Tools,Common,0,33,42,29,23,1.9344000000000001
Glass Vase,Fragile,1,35,58,43,11,0.0
Industrial Motor,Heavy Load,2,52,10,24,36,7.368
Glass Vase,Fragile,1,27,18,30,13,0.0
Industrial Motor,Heavy Load,2,25,19,45,64,9.03
Glass Vase,Fragile,1,49,28,56,11,0.0
Tools,Common,0,48,55,16,19,2.196
